Driver,Stint,Compound,StintStartLap,StintEndLap,NumLaps,AvgTyreLife,FirstLapTime,LastLapTime,MeanLapTime,StdLapTime,FirstLapTimeSeconds,LastLapTimeSeconds,DegradationDelta
SAI,4.0,SOFT,51.0,52.0,2,4.5,0 days 00:01:52.546000,0 days 00:01:28.293000,100.4195,17.149460764117332,112.546,88.293,-24.253
SAR,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:41.772000,0 days 00:01:52.246000,95.38537037037038,4.746381772937455,101.772,112.246,10.47399999999999
SAR,2.0,INTERMEDIATE,28.0,38.0,11,6.0,0 days 00:02:05.981000,0 days 00:01:38.811000,105.6299090909091,7.0822832964312505,125.981,98.811,-27.169999999999987
SAR,3.0,SOFT,39.0,52.0,14,7.5,0 days 00:01:56.256000,0 days 00:01:32.088000,92.76321428571428,6.789309596468791,116.256,92.088,-24.168000000000006
STR,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:39.108000,0 days 00:01:40.784000,94.42580769230769,3.485568636756197,99.108,100.784,1.676000000000002
STR,2.0,INTERMEDIATE,27.0,39.0,13,7.0,0 days 00:02:01.611000,0 days 00:01:37.759000,103.99061538461538,5.6817904680722675,121.611,97.759,-23.852000000000004
STR,3.0,MEDIUM,40.0,52.0,13,7.0,0 days 00:01:56.032000,0 days 00:01:30.053000,92.05223076923077,7.205708236690387,116.032,90.053,-25.979
TSU,1.0,MEDIUM,1.0,27.0,27,14.0,0 days 00:01:41.109000,0 days 00:01:48.126000,95.053,4.1753379688171455,101.109,108.126,7.01700000000001
TSU,2.0,INTERMEDIATE,28.0,38.0,11,6.0,0 days 00:02:03.448000,0 days 00:01:38.670000,105.0139090909091,6.399578899498701,123.448,98.67,-24.77799999999999
TSU,3.0,SOFT,39.0,52.0,14,7.5,0 days 00:01:58.637000,0 days 00:01:32.090000,93.19842857142858,7.345460761735629,118.637,92.09,-26.546999999999997
VER,1.0,MEDIUM,1.0,26.0,26,13.5,0 days 00:01:36.711000,0 days 00:01:41.491000,93.64507692307691,3.015237568392609,96.711,101.491,4.780000000000001
VER,2.0,INTERMEDIATE,27.0,38.0,12,6.5,0 days 00:01:59.169000,0 days 00:01:35.963000,102.78425,5.530632893670076,119.169,95.963,-23.206000000000003
VER,3.0,HARD,39.0,52.0,14,7.5,0 days 00:01:58.311000,0 days 00:01:29.089000,91.45292857142856,7.735210478607014,118.311,89.089,-29.22200000000001
ZHO,1.0,SOFT,1.0,12.0,12,6.5,0 days 00:01:42.231000,0 days 00:01:34.235000,95.06591666666667,2.4785929094157506,102.231,94.235,-7.995999999999995
ZHO,2.0,MEDIUM,13.0,19.0,7,4.0,0 days 00:01:55.049000,0 days 00:01:46.313000,99.89085714285714,8.231552454399102,115.049,106.313,-8.736000000000004
ZHO,3.0,INTERMEDIATE,20.0,26.0,7,4.0,0 days 00:02:05.955000,0 days 00:01:45.113000,110.43842857142856,7.20097951339822,125.955,105.113,-20.842
ZHO,4.0,INTERMEDIATE,27.0,37.0,11,6.0,0 days 00:02:04.515000,0 days 00:01:41.608000,105.57254545454545,6.567672972425416,124.515,101.608,-22.906999999999996
ZHO,5.0,SOFT,38.0,50.0,13,8.0,0 days 00:02:06.729000,0 days 00:01:31.749000,94.39546153846155,9.73813360467827,126.729,91.749,-34.980000000000004
